%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
110652153015,552,110602149963,map,10.535831451416016,-11.675199508666992,0.0,0.0,0.0,0.9320449233055115,0.3623427152633667
110852165222,553,110802162170,map,10.62045669555664,-11.624841690063477,0.0,0.0,0.0,0.939176619052887,0.34343457221984863
111052177429,554,111002174377,map,10.633689880371094,-11.484979629516602,0.0,0.0,0.0,0.9391412734985352,0.34353119134902954
111252189636,555,111202186584,map,10.64999771118164,-11.430245399475098,0.0,0.0,0.0,0.9393423795700073,0.34298089146614075
111452201843,556,111402198792,map,10.720172882080078,-11.35720157623291,0.0,0.0,0.0,0.9413307309150696,0.3374854326248169
111602210999,557,111602210999,map,10.788311004638672,-11.288153648376465,0.0,0.0,0.0,0.9416524767875671,0.33658677339553833
111852226257,558,111802223206,map,10.847919464111328,-11.216510772705078,0.0,0.0,0.0,0.9415349364280701,0.3369153141975403
112052238464,559,112002235413,map,10.910919189453125,-11.14358139038086,0.0,0.0,0.0,0.9415301084518433,0.3369289040565491
112252250671,560,112202247620,map,10.970836639404297,-11.069853782653809,0.0,0.0,0.0,0.9415286779403687,0.3369329273700714
112452262878,561,112402259827,map,11.031070709228516,-10.995085716247559,0.0,0.0,0.0,0.9415891170501709,0.3367638885974884
112652275085,562,112602272034,map,11.095287322998047,-10.921077728271484,0.0,0.0,0.0,0.9415255784988403,0.33694157004356384
112852287292,563,112802284241,map,11.154159545898438,-10.849340438842773,0.0,0.0,0.0,0.9413637518882751,0.33739328384399414
113002296448,564,113002296448,map,11.216667175292969,-10.7786283493042,0.0,0.0,0.0,0.9414514899253845,0.3371485471725464
113252311707,565,113202308655,map,11.267871856689453,-10.702645301818848,0.0,0.0,0.0,0.9412471652030945,0.33771848678588867
113452323914,566,113402320862,map,11.321334838867188,-10.627368927001953,0.0,0.0,0.0,0.9410895705223083,0.33815738558769226
113652336121,567,113602333069,map,11.393550872802734,-10.554560661315918,0.0,0.0,0.0,0.941214919090271,0.33780837059020996
113852348328,568,113802345276,map,11.459613800048828,-10.48560905456543,0.0,0.0,0.0,0.9415449500083923,0.3368873596191406
114002357483,569,114002357483,map,11.518630981445312,-10.41308879852295,0.0,0.0,0.0,0.9415015578269958,0.33700868487358093
114252372742,570,114202369690,map,11.580047607421875,-10.34309196472168,0.0,0.0,0.0,0.9416681528091431,0.33654287457466125
114452384949,571,114402381897,map,11.63922119140625,-10.270522117614746,0.0,0.0,0.0,0.9416176080703735,0.3366841971874237
114602394104,572,114602394104,map,11.702880859375,-10.196036338806152,0.0,0.0,0.0,0.9415555000305176,0.3368578553199768
114852409363,573,114802406311,map,11.765308380126953,-10.121779441833496,0.0,0.0,0.0,0.9416502714157104,0.3365929424762726
115052421570,574,115002418518,map,11.820117950439453,-10.045673370361328,0.0,0.0,0.0,0.9472237229347229,0.32057318091392517
115252433777,575,115202430725,map,11.83572006225586,-9.854523658752441,0.0,0.0,0.0,0.9486596584320068,0.3162987232208252
115452445984,576,115402442932,map,11.877681732177734,-9.768607139587402,0.0,0.0,0.0,0.9512854814529419,0.30831146240234375
115652458191,577,115602455139,map,11.936389923095703,-9.690839767456055,0.0,0.0,0.0,0.9513699412345886,0.3080507218837738
115852470398,578,115802467346,map,11.990535736083984,-9.611529350280762,0.0,0.0,0.0,0.9512525200843811,0.3084130585193634
116002479553,579,116002479553,map,12.041461944580078,-9.532821655273438,0.0,0.0,0.0,0.9511833786964417,0.30862635374069214
116252494812,580,116202491760,map,12.091926574707031,-9.399290084838867,0.0,0.0,0.0,0.9570643901824951,0.28987541794776917
116452507019,581,116402503967,map,12.138065338134766,-9.327451705932617,0.0,0.0,0.0,0.964256763458252,0.2649695575237274
116602516174,582,116602516174,map,12.18899154663086,-9.2493896484375,0.0,0.0,0.0,0.9643926620483398,0.2644745409488678
116852531433,583,116802528381,map,12.23873519897461,-9.170307159423828,0.0,0.0,0.0,0.9644584059715271,0.264234721660614
117052543640,584,117002540588,map,12.283950805664062,-9.089456558227539,0.0,0.0,0.0,0.9644525051116943,0.26425620913505554
117252555847,585,117202552795,map,12.33120346069336,-9.005666732788086,0.0,0.0,0.0,0.9644242525100708,0.26435935497283936
117452568054,586,117402565002,map,12.383102416992188,-8.926752090454102,0.0,0.0,0.0,0.9645503759384155,0.2638988792896271
117602577209,587,117602577209,map,12.430549621582031,-8.845754623413086,0.0,0.0,0.0,0.9645191431045532,0.26401281356811523
117852592468,588,117802589417,map,12.478137969970703,-8.76423454284668,0.0,0.0,0.0,0.964544415473938,0.26392048597335815
118052604675,589,118002601624,map,12.526390075683594,-8.683126449584961,0.0,0.0,0.0,0.964515745639801,0.26402536034584045
118202613831,590,118202613831,map,12.576663970947266,-8.602659225463867,0.0,0.0,0.0,0.964599609375,0.26371869444847107
118452629089,591,118402626038,map,12.625102996826172,-8.522611618041992,0.0,0.0,0.0,0.9646262526512146,0.2636213004589081
118602638245,592,118602638245,map,12.673038482666016,-8.441287994384766,0.0,0.0,0.0,0.9646092653274536,0.2636834979057312
118852653503,593,118802650452,map,12.72189712524414,-8.358102798461914,0.0,0.0,0.0,0.9645395278930664,0.26393842697143555
119052665710,594,119002662659,map,12.769718170166016,-8.270641326904297,0.0,0.0,0.0,0.9719259738922119,0.2352868914604187
119252677917,595,119202674866,map,12.8114013671875,-8.178304672241211,0.0,0.0,0.0,0.9792664647102356,0.2025763988494873
119452690125,596,119402687073,map,12.851070404052734,-8.102045059204102,0.0,0.0,0.0,0.979708194732666,0.20042921602725983
119652702332,597,119602699280,map,12.888492584228516,-8.014795303344727,0.0,0.0,0.0,0.9797080159187317,0.20042991638183594
119802711487,598,119802711487,map,12.924945831298828,-7.927986145019531,0.0,0.0,0.0,0.9797081351280212,0.20042957365512848
120002723694,599,120002723694,map,12.96213150024414,-7.840671539306641,0.0,0.0,0.0,0.9796889424324036,0.20052312314510345
120252738953,600,120202735901,map,12.998455047607422,-7.754219055175781,0.0,0.0,0.0,0.9796903729438782,0.20051634311676025
120452751160,601,120402748108,map,13.036502838134766,-7.667110443115234,0.0,0.0,0.0,0.9796946048736572,0.20049555599689484
120652763367,602,120602760315,map,13.073432922363281,-7.580114364624023,0.0,0.0,0.0,0.9796802997589111,0.20056551694869995
120802772522,603,120802772522,map,13.111503601074219,-7.491302490234375,0.0,0.0,0.0,0.9854394793510437,0.17002661526203156
121052787781,604,121002784729,map,13.145240783691406,-7.387727737426758,0.0,0.0,0.0,0.991665244102478,0.12884114682674408
121252799988,605,121202796936,map,13.16751480102539,-7.308931350708008,0.0,0.0,0.0,0.9923563599586487,0.1234050989151001
121402809143,606,121402809143,map,13.189903259277344,-7.217985153198242,0.0,0.0,0.0,0.9923753142356873,0.12325284630060196
121652824402,607,121602821350,map,13.21255874633789,-7.127410888671875,0.0,0.0,0.0,0.9924107789993286,0.12296702712774277
121852836609,608,121802833557,map,13.237323760986328,-7.028392791748047,0.0,0.0,0.0,0.9924209713935852,0.12288445234298706
122052848816,609,122002845764,map,13.264167785644531,-6.918880462646484,0.0,0.0,0.0,0.992462158203125,0.12255153059959412
122252861023,610,122202857971,map,13.291973114013672,-6.809999465942383,0.0,0.0,0.0,0.9924997687339783,0.12224651873111725
122452873230,611,122402870178,map,13.318611145019531,-6.700313568115234,0.0,0.0,0.0,0.9924812912940979,0.1223963052034378
122652885437,612,122602882385,map,13.344718933105469,-6.591249465942383,0.0,0.0,0.0,0.992475152015686,0.12244623154401779
122852897644,613,122802894592,map,13.373695373535156,-6.477458953857422,0.0,0.0,0.0,0.9924886226654053,0.12233679741621017
123052909851,614,123002906799,map,13.402606964111328,-6.366947174072266,0.0,0.0,0.0,0.992505669593811,0.12219872325658798
123252922058,615,123202919006,map,13.429988861083984,-6.257211685180664,0.0,0.0,0.0,0.9925146102905273,0.12212572246789932
123452934265,616,123402931213,map,13.45712661743164,-6.147258758544922,0.0,0.0,0.0,0.9925081729888916,0.12217848747968674
123602943420,617,123602943420,map,13.483413696289062,-6.038043975830078,0.0,0.0,0.0,0.9925012588500977,0.12223445624113083
123852958679,618,123802955627,map,13.511127471923828,-5.926761627197266,0.0,0.0,0.0,0.992534875869751,0.12196113914251328
124052970886,619,124002967834,map,13.53775405883789,-5.817234039306641,0.0,0.0,0.0,0.9882330298423767,0.1529557853937149
124252983093,620,124202980042,map,13.57305908203125,-5.710187911987305,0.0,0.0,0.0,0.9840706586837769,0.17777791619300842
124452995300,621,124402992249,map,13.615890502929688,-5.60249137878418,0.0,0.0,0.0,0.9825288653373718,0.1861102133989334
124653007507,622,124603004456,map,13.6571044921875,-5.499744415283203,0.0,0.0,0.0,0.972525954246521,0.2327943742275238
124853019714,623,124803016663,map,13.707141876220703,-5.40069580078125,0.0,0.0,0.0,0.9593756794929504,0.28213170170783997
125053031921,624,125003028870,map,13.766300201416016,-5.30858039855957,0.0,0.0,0.0,0.9435386657714844,0.33126237988471985
125253044128,625,125203041077,map,13.837890625,-5.221719741821289,0.0,0.0,0.0,0.9251359105110168,0.37963610887527466
125453056335,626,125403053284,map,13.921302795410156,-5.139566421508789,0.0,0.0,0.0,0.9169079065322876,0.39909887313842773
125653068542,627,125603065491,map,14.01071548461914,-5.058008193969727,0.0,0.0,0.0,0.9162784814834595,0.400541752576828
125853080750,628,125803077698,map,14.095340728759766,-4.978025436401367,0.0,0.0,0.0,0.9159111380577087,0.40138110518455505
126053092957,629,126003089905,map,14.180419921875,-4.8996429443359375,0.0,0.0,0.0,0.9158337116241455,0.4015577733516693
126253105164,630,126203102112,map,14.264572143554688,-4.822137832641602,0.0,0.0,0.0,0.9157794117927551,0.4016815721988678
126453117371,631,126403114319,map,14.348686218261719,-4.74345588684082,0.0,0.0,0.0,0.9156548380851746,0.4019653797149658
126653129578,632,126603126526,map,14.4332275390625,-4.665376663208008,0.0,0.0,0.0,0.915539026260376,0.40222910046577454
126853141785,633,126803138733,map,14.517566680908203,-4.5892333984375,0.0,0.0,0.0,0.9155578017234802,0.40218642354011536
127053153992,634,127003150940,map,14.598541259765625,-4.5132598876953125,0.0,0.0,0.0,0.9028269648551941,0.4300040900707245
127203163147,635,127203163147,map,14.683979034423828,-4.447092056274414,0.0,0.0,0.0,0.8813273906707764,0.4725060760974884
127453178406,636,127403175354,map,14.781436920166016,-4.381807327270508,0.0,0.0,0.0,0.876218318939209,0.48191437125205994
127603187561,637,127603187561,map,14.87796401977539,-4.321897506713867,0.0,0.0,0.0,0.8752931356430054,0.4835926592350006
127853202820,638,127803199768,map,14.97061538696289,-4.268301010131836,0.0,0.0,0.0,0.8551651835441589,0.5183556079864502
128053207397,639,128003204346,map,15.06888198852539,-4.221960067749023,0.0,0.0,0.0,0.8295537829399109,0.5584268569946289
128253219604,640,128203216553,map,15.17995834350586,-4.173486709594727,0.0,0.0,0.0,0.8222199082374573,0.5691699385643005
128453231812,641,128403228760,map,15.28802490234375,-4.134492874145508,0.0,0.0,0.0,0.8221377730369568,0.5692885518074036
128603240967,642,128603240967,map,15.394580841064453,-4.096502304077148,0.0,0.0,0.0,0.8120741844177246,0.5835541486740112
128853256226,643,128803253174,map,15.49966812133789,-4.06340217590332,0.0,0.0,0.0,0.7833611369132996,0.6215668320655823
129053268433,644,129003265381,map,15.61172103881836,-4.038080215454102,0.0,0.0,0.0,0.7499736547470093,0.6614677309989929
129203277588,645,129203277588,map,15.725231170654297,-4.026895523071289,0.0,0.0,0.0,0.7153153419494629,0.6988018155097961
129453292847,646,129403289795,map,15.838966369628906,-4.02385139465332,0.0,0.0,0.0,0.6775674223899841,0.735460638999939
129653305054,647,129603302002,map,15.9532470703125,-4.033281326293945,0.0,0.0,0.0,0.6387377977371216,0.7694244980812073
129853317261,648,129803314209,map,16.06475067138672,-4.053979873657227,0.0,0.0,0.0,0.5936872363090515,0.8046959042549133
130053329468,649,130003326416,map,16.186145782470703,-4.080511093139648,0.0,0.0,0.0,0.5536534786224365,0.8327471613883972
130253341675,650,130203338623,map,16.361072540283203,-4.15049934387207,0.0,0.0,0.0,0.5365607738494873,0.8438616991043091
130453353882,651,130403350830,map,16.484546661376953,-4.152088165283203,0.0,0.0,0.0,0.5227214694023132,0.8525035381317139
130653366089,652,130603363037,map,16.533187866210938,-4.214664459228516,0.0,0.0,0.0,0.5044437050819397,0.8634445667266846
130853378296,653,130803375244,map,16.63669204711914,-4.352144241333008,0.0,0.0,0.0,0.5049684047698975,0.8631377816200256
131053390503,654,131003387451,map,16.67081069946289,-4.452003479003906,0.0,0.0,0.0,0.4984907805919647,0.8668950200080872
131253402710,655,131203399658,map,16.737934112548828,-4.552484512329102,0.0,0.0,0.0,0.5016317367553711,0.865081250667572
131453414917,656,131403411865,map,16.841278076171875,-4.60932731628418,0.0,0.0,0.0,0.49993911385536194,0.8660605549812317
131603424072,657,131603424072,map,16.93242645263672,-4.669376373291016,0.0,0.0,0.0,0.45734015107154846,0.8892918229103088
131853439331,658,131803436279,map,17.02306365966797,-4.822338104248047,0.0,0.0,0.0,0.4474567174911499,0.8943055868148804
132053451538,659,132003448486,map,17.108348846435547,-4.859317779541016,0.0,0.0,0.0,0.42678168416023254,0.9043546915054321
132203460693,660,132203460693,map,17.202720642089844,-4.929069519042969,0.0,0.0,0.0,0.42624470591545105,0.904607892036438
132403472900,661,132403472900,map,17.290176391601562,-5.001909255981445,0.0,0.0,0.0,0.426268994808197,0.9045964479446411
132653488159,662,132603485107,map,17.377246856689453,-5.075235366821289,0.0,0.0,0.0,0.4262944459915161,0.9045844674110413
132853500366,663,132803497314,map,17.463409423828125,-5.150354385375977,0.0,0.0,0.0,0.42650118470191956,0.9044870138168335
133053512573,664,133003509521,map,17.553852081298828,-5.220941543579102,0.0,0.0,0.0,0.4268679618835449,0.9043139815330505
